interests,skills,personality,career_path
"behavioral psychology, writing","google analytics, seo, content marketing, sem, copywriting","dynamic, persuasive",Digital Marketer
"art, human behavior","interaction design, sketch, wireframing, user research","visual, observant, empathetic",UI/UX Designer
"security, networking, hacking","cryptography, security audit, penetration testing, firewalls, linux","skeptical, detail-oriented, analytical",Cybersecurity Specialist
"human behavior, psychology, drawing, art","interaction design, wireframing, user research, prototyping","visual, empathetic",UI/UX Designer
"hacking, investigation, networking, privacy","linux, security audit, penetration testing, firewalls","vigilant, analytical, skeptical",Cybersecurity Specialist
"technology, open source","javascript, data structures, react, node.js, algorithms","detail-oriented, problem solver",Software Engineer
"trends, writing, advertising, behavioral psychology","google analytics, content marketing, copywriting, seo","persuasive, dynamic",Digital Marketer
"math, research","pandas, python, numpy, statistics","curious, logical, researcher",Data Scientist
"collaboration, organizing, business strategy","communication, agile, product roadmap, analytics","leader, communicative, adaptable",Product Manager
"art, psychology, human behavior","interaction design, user research, wireframing","visual, creative",UI/UX Designer
"organization, system performance","backup recovery, mysql, performance tuning, postgresql, sql","meticulous, patient",Database Administrator
"privacy, networking","firewalls, security audit, networking, linux","detail-oriented, skeptical",Cybersecurity Specialist
"trends, advertising, behavioral psychology","sem, google analytics, social media","outgoing, dynamic",Digital Marketer
"data structure, system performance","backup recovery, postgresql, sql, linux","patient, meticulous, organized",Database Administrator
"coding, problem solving, web apps","data structures, python, javascript, git","problem solver, logical, analytical",Software Engineer
"research, puzzles, data analysis","numpy, statistics, machine learning, sql, pandas","analytical, logical, curious",Data Scientist
"socializing, writing, advertising","copywriting, google analytics, social media, seo, sem","outgoing, creative, dynamic",Digital Marketer
"user feedback, organizing, business strategy, leadership","communication, analytics, agile","adaptable, leader, communicative",Product Manager
"networking, system administration, cloud computing","docker, bash, jenkins, cicd, aws","systematic, logical, pragmatic",DevOps Engineer
"networking, automation, cloud computing, system administration","linux, jenkins, bash, kubernetes","systematic, pragmatic",DevOps Engineer
"organization, data structure","mysql, sql, postgresql, backup recovery","logical, patient",Database Administrator
"automation, cloud computing","cicd, aws, linux","logical, systematic, organized",DevOps Engineer
"cloud computing, automation, system administration","cicd, docker, aws, linux, backup recovery","pragmatic, logical, organized",DevOps Engineer
"privacy, networking, hacking, investigation","penetration testing, linux, firewalls, cryptography","detail-oriented, vigilant",Cybersecurity Specialist
"data analysis, math","machine learning, pandas, python, sql, statistics","curious, researcher, logical",Data Scientist
"hacking, networking, investigation","cryptography, networking, security audit, penetration testing","skeptical, analytical",Cybersecurity Specialist
"system performance, organization, optimization, data structure","mysql, backup recovery, sql","patient, logical, organized",Database Administrator
"art, human behavior","user research, interaction design, sketch, figma","creative, empathetic",UI/UX Designer
"networking, hacking, security","cryptography, penetration testing, security audit, networking, linux","detail-oriented, analytical, skeptical",Cybersecurity Specialist
"coding, open source, problem solving","react, algorithms, python, data structures","analytical, logical, problem solver",Software Engineer
"leadership, organizing, user feedback","agile, product roadmap, analytics, scrum","adaptable, decisive, communicative",Product Manager
"hacking, security, privacy","linux, security audit, cryptography","vigilant, detail-oriented, skeptical",Cybersecurity Specialist
"automation, system administration, networking, cloud computing","linux, cicd, jenkins, agile","pragmatic, logical, systematic",DevOps Engineer
"writing, trends","google analytics, copywriting, seo, social media, content marketing","creative, persuasive, dynamic",Digital Marketer
"writing, trends, behavioral psychology, advertising","social media, sem, content marketing, seo, copywriting","persuasive, dynamic",Digital Marketer
"data structure, optimization, system performance","sql, postgresql, performance tuning, mysql","patient, organized",Database Administrator
"advertising, trends, socializing, writing","content marketing, seo, copywriting","outgoing, creative",Digital Marketer
